"Title","Country","City","Organizer","Venue","Address","Summary","Name","Start_Date","End_Date","Text","Website","Facebook","Twitter"
"Otakon / Otakon","United States of America / United States of America / 米国","Washington D.C.","Otakorp, Inc.","Baltimore Convention Center",,"An annual convention held in the summer months to celebrate Asian pop culture (anime, manga, music, movies, video games, etc) and its fandom. The event runs from Friday to Sunday and is packed with schedule that has tons to do. All of this is run by the non-profit organization Otakorp, Inc.Otakonはアジアのポップカルチャー（アニメ、マンガ、音楽、映画、ビデオゲームなど）とそのファンが集う、毎年夏に開催されるイベントです。このイベントは金曜から日曜にかけて開催されます。会期中はポップカルチャーをテーマにした様々なイベントが多数開催際されます。otakonは、非営利団体Otakorp, Inc.によって運営されています。","Otakon 2019 / Otakon 2019","2019-07-26","2019-07-26","Start date: 8:00 / End date: 15:00An annual convention held in the summer months to celebrate Asian pop culture (anime, manga, music, movies, video games, etc) and its fandom. The event runs from Friday to Sunday and is packed with schedule that has tons to do. All of this is run by the non-profit organization Otakorp, Inc.Otakonはアジアのポップカルチャー（アニメ、マンガ、音楽、映画、ビデオゲームなど）とそのファンが集う、毎年夏に開催されるイベントです。このイベントは金曜から日曜にかけて開催されます。会期中はポップカルチャーをテーマにした様々なイベントが多数開催際されます。otakonは、非営利団体Otakorp, Inc.によって運営されています。","http://www.otakon.com/","https://www.facebook.com/Otakon/","http://twitter.com/otakon"
"Otakon Vegas / Otakon Vegas","United States of America / United States of America / 米国","Las Vegas","Otakorp, Inc.","Planet Hollywood",,"Otakon Vegas is a new event from the people behind Otakon®, one of North America's largest celebrations of anime and East Asian popular culture.Otakon Vegasは北アメリカ最大のアニメと東アジア文化の祭典であるOtakonの運営メンバーによる新しいイベントです。","Otakon Vegas / Otakon Vegas","2018-01-19","2018-01-21","Otakon Vegas is a new event from the people behind Otakon®, one of North America's largest celebrations of anime and East Asian popular culture.Otakon Vegasは北アメリカ最大のアニメと東アジア文化の祭典であるOtakonの運営メンバーによる新しいイベントです。","http://www.otakonvegas.com/","http://www.facebook.com/otakonvegas/","https://twitter.com/OtakonVegas"
"Otakuthon / Otakuthon","Canada / Canada / カナダ","Montreal","Otakuthon Cultural Society","Palais des Congres de Montreal",,"Otakuthon is Quebec's largest festival celebrating Japanese animation (anime), graphic novels (manga), gaming, and pop culture.The first of its kind in Montreal, Otakuthon is a full-fledged, fan-run, bilingual anime convention that features a number of special guests as well as many activities and events spotlighting anime, manga, video games, artwork, and Japanese culture.Otakuthonはケベック最大の日本のアニメ・漫画・ゲームイベントです。モントリオールでの最初のオタクイベントとして、ファンにより運営されるバイリンガルイベントで、多数のゲストを招聘し、アニメや漫画などの日本文化に関する多様なアクティビティが行われます。","Otakuthon 2019 / Otakuthon 2019","2019-08-16","2019-08-18","Start Time: 10:00 / End Time: 19:00Otakuthon is Quebec's largest festival celebrating Japanese animation (anime), graphic novels (manga), gaming, and pop culture.The first of its kind in Montreal, Otakuthon is a full-fledged, fan-run, bilingual anime convention that features a number of special guests as well as many activities and events spotlighting anime, manga, video games, artwork, and Japanese culture.","http://www.otakuthon.com","https://www.facebook.com/Otakuthon-183501660040/","https://twitter.com/otakuthon"
"Sakuracon / Sakuracon","United States of America / United States of America / 米国","Seattle","Asia Northwest Cultural Education Association","Washongton State Convention Center",,"Sakura-Con is an annual three-day anime convention held during March or April at the Washington State Convention & Trade Center in Seattle, Washington. The convention, which is traditionally held over Easter weekend, is the largest anime convention in the Northwest and is the 9th largest North American anime convention as of 2016. It is organized by the volunteer Asia-Northwest Cultural Education Association (ANCEA).Sakura-ConはシアトルのWashington State Convention & Trade Centerで毎年3月もしくは、4月の3日間にわたって開催されるアニメイベントです。伝統的にイースターの祝日に合わせて行われるこのイベントは北西アメリカ最大の規模を誇り、2016年時点では全米第9位の動員数を記録しています。Sakura-ConはAsia-Northwest Cultural Education Association （ANCEA）という団体のボランティアによって運営されています。","Sakuracon 2019 / Sakuracon 2019","2019-04-19","2019-04-21","Start Time: 10:00Sakura-Con is an annual three-day anime convention held during March or April at the Washington State Convention & Trade Center in Seattle, Washington. The convention, which is traditionally held over Easter weekend, is the largest anime convention in the Northwest and is the 9th largest North American anime convention as of 2016. It is organized by the volunteer Asia-Northwest Cultural Education Association (ANCEA).Sakura-ConはシアトルのWashington State Convention & Trade Centerで毎年3月もしくは、4月の3日間にわたって開催されるアニメイベントです。伝統的にイースターの祝日に合わせて行われるこのイベントは北西アメリカ最大の規模を誇り、2016年時点では全米第9位の動員数を記録しています。Sakura-ConはAsia-Northwest Cultural Education Association （ANCEA）という団体のボランティアによって運営されています。","http://www.sakuracon.org/","https://www.facebook.com/groups/2208863127/","https://twitter.com/SakuraCon"
"Setsucon / Setsucon","United States of America / United States of America / 米国","Altoona","Penn State Anime Organization","Blair County Convention Center",,"Setsucon is hosted by the Penn State Anime Organization (PSAO). Since September 2001, the PSAO has been bringing anime, manga and Japanese pop culture to the University Park campus. Working to provide both weekly screenings and a social environment for Penn State's anime/manga fan base, the PSAO is continually broadening its horizons. The PSAO meetings serve multiple functions, including our free weekly anime screenings. We also arrange trips to conventions, have club social events, facilitate DDR events on campus, and much much more!Setsucon strives to bring a safe and inclusive social environment to anime and manga fans of all ages across Central Pennsylvania and beyond.  We aim to bring the big convention feel to a more intimate and affordable convention.Founded in 2007, Setsucon started out as a single day convention, headlined by the programming, rather than the guests, with events such as the Masquerade, Setsu Odori (Dance), and our Host Auction, which has become a marquee event and is unique to our convention.  Our Host Auction, which has cosplayers put on a scripted scene, in dressed as characters from games and anime, and then be auctioned off for dessert with an attendee, as their host; this consistently raises a thousand dollars or more for charity.  In 2008, Setsucon expanded to two days, adding even more programming throughout the years, such as our take on iron chef, Iron Cosplay, as well as bringing in many industry guests.  We strive to bring theses joys to our attendees at affordable rates, keeping our pre-registration prices below $25 and at-con prices below $35.Most recently, in 2017, we we had a full slate of events, such as the general Masquerade, Dance, Host Auction, and Iron Cosplay, as well as a comedy show by our guest Karl ""Uncle Yo"" Custer, a belly dancing show by our guest, Antipode, and panels from both attendees and our voice actor guests, Keith Silverstein, Kira Buckland, and Erica Lindbeck.  We also showed sneak peak clips from the upcoming Skip Beat dub, thanks to Pied Piper.  In addition, we had a large exhibitors hall filled with over 30 vendors and artists, two viewings rooms, and a game room with close to 30 gaming systems.In 2018, we are expanding outside of State College, our former home, and moving to Altoona, PA, to the Blair County Convention Center, to continue to bring all of the big events from a large con to our attendees and still at an afforable rate.Setsuconは、ペンシルバニア州アニメクラブ（PSAO）が主催しているイベントです。2001年9月より、PSAOはアニメ、マンガ、日本のポップカルチャーを普及するため無料のアニメ上映会などのイベントをUniversity Parkキャンパスで毎週開催、コンベンションへのグループ旅行を企画、ファン同士の交流イベント、キャンパスでのDDR大会を開催するなど、意欲的に活動してきました。Setsuconは、ペンシルバニア中央部のあらゆる年代のアニメファンや漫画ファンに、安全で解放的な交流環境を提供するよう努めています。大きなコンベンションを、より親密で身近なものとして参加者に楽しんでもらうことを目指しています。2007年に設立されたSetsuconは、ゲストイベントの代わりにコスプレ大会やセツ・オドリ（ダンス）、今ではSetsucon独自の目玉イベントとなった「ホスト・オークション」などの様々な企画で構成された一日限りのコンベンションとしてスタートしました。ホストオークションは、ゲームやアニメのキャラクターに扮したコスプレイヤーと一緒にデザートを食べる権利を参加者が競り落とすイベントで、毎年千ドル以上の額が集まります。2008年、セツコンは2日間に拡大し、コスプレの鉄人のような企画をさらに充実させ、業界から多数のゲストを招待しました。手頃な料金でイベントの楽しさを提供するために、事前登録価格を25ドル以下、会場価格を35ドル以下に抑えるよう努めています。2017年にはコスプレ大会、ダンス、ホストオークション、コスプレの鉄人などのイベントに加え、ゲストであるKarl Custer（通称Yoおじさん）のコメディショー、Antipodeによるベリーダンス、ゲスト声優であるKeith Silverstein、Kira Buckland、Erica Lindbeckや有志のパネルディスカッションなどが行われました。また、Pied Piperのサポートにより、Skip Beatの吹き替え版のプレミア上映も行うことができました。30社以上の企業やクリエイターによる物販展示、2つのアニメ上映室、約30のゲームを備えたゲームルームも設けられました。2018年には、州立大学の外に会場を移し、ペンシルバニア州アルトゥーナでのイベント開催を予定しております。価格は手頃なものに据え置きつつ、より大きな会場で参加者に楽しい時間を過ごしてもらう予定です。","Setsucon 2019 / Setsucon 2019","2019-01-26","2019-01-27","Setsucon is hosted by the Penn State Anime Organization (PSAO). Since September 2001, the PSAO has been bringing anime, manga and Japanese pop culture to the University Park campus. Working to provide both weekly screenings and a social environment for Penn State's anime/manga fan base, the PSAO is continually broadening its horizons. The PSAO meetings serve multiple functions, including our free weekly anime screenings. We also arrange trips to conventions, have club social events, facilitate DDR events on campus, and much much more!Setsucon strives to bring a safe and inclusive social environment to anime and manga fans of all ages across Central Pennsylvania and beyond.  We aim to bring the big convention feel to a more intimate and affordable convention.Founded in 2007, Setsucon started out as a single day convention, headlined by the programming, rather than the guests, with events such as the Masquerade, Setsu Odori (Dance), and our Host Auction, which has become a marquee event and is unique to our convention.  Our Host Auction, which has cosplayers put on a scripted scene, in dressed as characters from games and anime, and then be auctioned off for dessert with an attendee, as their host; this consistently raises a thousand dollars or more for charity.  In 2008, Setsucon expanded to two days, adding even more programming throughout the years, such as our take on iron chef, Iron Cosplay, as well as bringing in many industry guests.  We strive to bring theses joys to our attendees at affordable rates, keeping our pre-registration prices below $25 and at-con prices below $35.Most recently, in 2017, we we had a full slate of events, such as the general Masquerade, Dance, Host Auction, and Iron Cosplay, as well as a comedy show by our guest Karl ""Uncle Yo"" Custer, a belly dancing show by our guest, Antipode, and panels from both attendees and our voice actor guests, Keith Silverstein, Kira Buckland, and Erica Lindbeck.  We also showed sneak peak clips from the upcoming Skip Beat dub, thanks to Pied Piper.  In addition, we had a large exhibitors hall filled with over 30 vendors and artists, two viewings rooms, and a game room with close to 30 gaming systems.In 2018, we are expanding outside of State College, our former home, and moving to Altoona, PA, to the Blair County Convention Center, to continue to bring all of the big events from a large con to our attendees and still at an afforable rate.Setsuconは、ペンシルバニア州アニメクラブ（PSAO）が主催しているイベントです。2001年9月より、PSAOはアニメ、マンガ、日本のポップカルチャーを普及するため無料のアニメ上映会などのイベントをUniversity Parkキャンパスで毎週開催、コンベンションへのグループ旅行を企画、ファン同士の交流イベント、キャンパスでのDDR大会を開催するなど、意欲的に活動してきました。Setsuconは、ペンシルバニア中央部のあらゆる年代のアニメファンや漫画ファンに、安全で解放的な交流環境を提供するよう努めています。大きなコンベンションを、より親密で身近なものとして参加者に楽しんでもらうことを目指しています。2007年に設立されたSetsuconは、ゲストイベントの代わりにコスプレ大会やセツ・オドリ（ダンス）、今ではSetsucon独自の目玉イベントとなった「ホスト・オークション」などの様々な企画で構成された一日限りのコンベンションとしてスタートしました。ホストオークションは、ゲームやアニメのキャラクターに扮したコスプレイヤーと一緒にデザートを食べる権利を参加者が競り落とすイベントで、毎年千ドル以上の額が集まります。2008年、セツコンは2日間に拡大し、コスプレの鉄人のような企画をさらに充実させ、業界から多数のゲストを招待しました。手頃な料金でイベントの楽しさを提供するために、事前登録価格を25ドル以下、会場価格を35ドル以下に抑えるよう努めています。2017年にはコスプレ大会、ダンス、ホストオークション、コスプレの鉄人などのイベントに加え、ゲストであるKarl Custer（通称Yoおじさん）のコメディショー、Antipodeによるベリーダンス、ゲスト声優であるKeith Silverstein、Kira Buckland、Erica Lindbeckや有志のパネルディスカッションなどが行われました。また、Pied Piperのサポートにより、Skip Beatの吹き替え版のプレミア上映も行うことができました。30社以上の企業やクリエイターによる物販展示、2つのアニメ上映室、約30のゲームを備えたゲームルームも設けられました。2018年には、州立大学の外に会場を移し、ペンシルバニア州アルトゥーナでのイベント開催を予定しております。価格は手頃なものに据え置きつつ、より大きな会場で参加者に楽しい時間を過ごしてもらう予定です。","http://www.setsucon.com","http://www.facebook.com/setsucon","http://twitter.com/setsucon"
"The Toronto Comic Arts Festival / The Toronto Comic Arts Festival","Canada / Canada / カナダ","Toronto","The Toronto Festival of Comics and Graphic Arts","Toronto Reference Library",,"TCAF is The Toronto Comic Arts Festival, taking place in 2017 at Toronto Reference Library and the surrounding Bloor/Yonge neighbourhood in Toronto, Ontario, Canada. It is celebration of comics and graphic novels and their creators, which culminates in a two-day exhibition and vendor fair featuring hundreds of comics creators from around the world. The Toronto Comic Arts Festival exists to promote the breadth and diversity of comics, and what is considered comics, as legitimate medium of literary and artistic worth. We seek to promote the creators of these works in their broad and diverse voices, for the betterment of the medium of comics and to reach as wide an audience as possible for them.TCAF（トロント・コミック・アーツ・フェスティバル）は、カナダのオンタリオ州トロントにあるトロント・レファレンス・ライブラリーとその周囲のBloor / Yonge地区で開催される、コミック、グラフィックノベル、そしてそのクリエイターたちの祭典です。世界中の何百人もの漫画クリエイターが出展する展示即売会が、二日間に渡って行われます。TCAFは、文学や芸術同様価値ある媒体として、コミックの奥深さと多様性を人々に伝えることをミッションとしています。 私たちは、それぞれの作品のクリエイターのオリジナリティを尊重し、漫画の価値を向上させ、可能な限り多くの聴衆にその魅力を届けることができるよう努めています。","The Toronto Comic Arts Festival 2019 / The Toronto Comic Arts Festival 2019","2019-05-10","2019-05-12","Start Time: 09:00 / End Time: 17:00TCAF is The Toronto Comic Arts Festival, taking place in 2017 at Toronto Reference Library and the surrounding Bloor/Yonge neighbourhood in Toronto, Ontario, Canada. It is celebration of comics and graphic novels and their creators, which culminates in a two-day exhibition and vendor fair featuring hundreds of comics creators from around the world. The Toronto Comic Arts Festival exists to promote the breadth and diversity of comics, and what is considered comics, as legitimate medium of literary and artistic worth. We seek to promote the creators of these works in their broad and diverse voices, for the betterment of the medium of comics and to reach as wide an audience as possible for them.TCAF（トロント・コミック・アーツ・フェスティバル）は、カナダのオンタリオ州トロントにあるトロント・レファレンス・ライブラリーとその周囲のBloor / Yonge地区で開催される、コミック、グラフィックノベル、そしてそのクリエイターたちの祭典です。世界中の何百人もの漫画クリエイターが出展する展示即売会が、二日間に渡って行われます。TCAFは、文学や芸術同様価値ある媒体として、コミックの奥深さと多様性を人々に伝えることをミッションとしています。 私たちは、それぞれの作品のクリエイターのオリジナリティを尊重し、漫画の価値を向上させ、可能な限り多くの聴衆にその魅力を届けることができるよう努めています。","http://www.torontocomics.com","https://www.facebook.com/TorontoComics/","https://twitter.com/torontocomics"
"Anicomix / Anicomix","Argentina / Argentina / アルゼンチン","Buenos Ares","Anicomix eventos","Salon San Jose",,"Anicomix is an argentine event fully dedicated to promote anime, manga and video games in our city (buenos aires) we do ours events 1 time each month and we have tematics events and free entrance events too (anicomix free).Anicomix reach each event a minimun of 1500 visitors (almost all our events are only 1 day event) but we reach a record of 3500 visitors in some events.the program of Anicomix have a variety of atraccion and activities like: cosplay contest, video game contest, large gamer sector, drawing contest, TCG sector, a large merchandasing stands sector, karaoke contest, and free karaoke on stage, shows like: covers bands, cover anime singer, international shows of latin seiyuu actors (like mario castañeda) grow and offer a better experience is our objetive.  Anicomixはブエノスアイレスで開かれるアニメ、漫画、ビデオゲームのイベントです。イベントは月に一度開催され、テーマ別のイベントと、入場無料イベントのanicomix freeがあります。Anicomixはほとんどが一日限りのイベントですが、毎回1,500人以上の参加者が訪れ、そのうちの何回かは参加者数3,500人以上を数えました。Anicomixではコスプレやビデオゲーム、イラストコンテスト、カードゲーム、物販、カラオケコンテスト、無料カラオケコーナー、アニソンカバーライブ、Mario Castañedaのような中南米声優のゲストセッションなどが開かれ、参加者により楽しい時間を過ごしてもらうことを目指しています。","Anicomix Aniversario 2019 / Anicomix Aniversario 2019","2019-06-15","2019-06-15","Start Time: 11:00 / End Time: 19:00Anicomix is an argentine event fully dedicated to promote anime, manga and video games in our city (buenos aires) we do ours events 1 time each month and we have tematics events and free entrance events too (anicomix free).Anicomix reach each event a minimun of 1500 visitors (almost all our events are only 1 day event) but we reach a record of 3500 visitors in some events.the program of Anicomix have a variety of atraccion and activities like: cosplay contest, video game contest, large gamer sector, drawing contest, TCG sector, a large merchandasing stands sector, karaoke contest, and free karaoke on stage, shows like: covers bands, cover anime singer, international shows of latin seiyuu actors (like mario castañeda) grow and offer a better experience is our objetive.","http://ani-comix.com.ar/","http://facebook.com/anicomixface","http://www.twitter.com/anicomix"
"Anime Dreams / Anime Dreams","Brazil / Brazil / ブラジル","Sao Paulo","Yamato Corporation","Universidade Cruzeiro do Sul",,"ANIME DREAMS is held once in a year (2 days) in Sao Paulo city, Brasil. An event to be held for the fans by anime / manga fans of Japan organized by the organizer (held in 2004). Next year will be restarter as the eleventh event, various attractions, lectures and cosplay contests will be held. Attractions: Concerts: DaisyxDaisy (japanese band) , K-pop band ""VAV"". Brazilian Voice Actor: Renan Alonso, Felipe Grinnan, Carlos Campanile. General Activities: cosplay, BWF (Pro wrestling), game exhibition, etc. Fan club space as Magic Potter (Harry Potter), Tokusatsu, Maid Cafe, J-Fashion, Animeke (anime and game Karaoke); Product store; ANIME DREAMS（アニメドリームズ）は、年に一度（2日間）、ブラジルのサンパウロ市で行われる、日本のアニメ・漫画ファンによるファンのためのイベントです。2004年の開催後しばらく休止していましたが、2018年、11回目のイベントが開かれる予定で、以下に挙げるような様々な舞台、講演会、コスプレコンテストが企画されています。舞台・講演会：DaisyxDaisy（日本のバンド）、VAV（K-popバンド）声優：Renan Alonso, Felipe Grinnan,Carlos Camoanileアクティビティ：コスプレ、BWF（プロレスリング）、ゲームの出展など。その他にマジックポッター（ハリー・ポッターファンの集い）、特撮、メイドカフェ、日本のファッション、アニメケ（アニメのカラオケルーム）などのテーマールームが開かれます。","Anime Dreams 2018 / Anime Dreams 2018","2018-01-20","2018-01-21","Start Time: 12:00 / End Time: 20:00ANIME DREAMS is held once in a year (2 days) in Sao Paulo city, Brasil. An event to be held for the fans by anime / manga fans of Japan organized by the organizer (held in 2004). Next year will be restarter as the eleventh event, various attractions, lectures and cosplay contests will be held. Attractions: Concerts: DaisyxDaisy (japanese band) , K-pop band ""VAV"". Brazilian Voice Actor: Renan Alonso, Felipe Grinnan, Carlos Campanile. General Activities: cosplay, BWF (Pro wrestling), game exhibition, etc. Fan club space as Magic Potter (Harry Potter), Tokusatsu, Maid Cafe, J-Fashion, Animeke (anime and game Karaoke); Product store; ANIME DREAMS（アニメドリームズ）は、年に一度（2日間）、ブラジルのサンパウロ市で行われる、日本のアニメ・漫画ファンによるファンのためのイベントです。2004年の開催後しばらく休止していましたが、2018年、11回目のイベントが開かれる予定で、以下に挙げるような様々な舞台、講演会、コスプレコンテストが企画されています。舞台・講演会：DaisyxDaisy（日本のバンド）、VAV（K-popバンド）声優：Renan Alonso, Felipe Grinnan,Carlos Camoanileアクティビティ：コスプレ、BWF（プロレスリング）、ゲームの出展など。その他にマジックポッター（ハリー・ポッターファンの集い）、特撮、メイドカフェ、日本のファッション、アニメケ（アニメのカラオケルーム）などのテーマールームが開かれます。","http://animedreams.com.br/","https://www.facebook.com/animedreams/","https://twitter.com/animedreamsbr"
"Anime Expo Santiago / Anime Expo Santiago","Chile / Chile / チリ","Santiago","Arcadia Libre","Mapocho Cultural Center, Plaza de la Cultura s / n",,"AEx is an anime, manga, videogames and entertainment convention that is held 2 times at year, organized by Arcadia Libre Productions. AEx is most important and of higher trajectory in Chile; and is from his origin, an event created from fans for fans.AEx congregates diferent activities asosiated to the entertainment culture, some most important elements we can highlight: Contest of cosplay, karaoke and ilustrations, Room for workshops and conferences, Videogames room, shop zone, national artist zone, japanese cultural zone, live performance for bands, single singers and dance groups, moreover, we count with participation of diferent japanese artists and from other parts of the world who are related with otaku culture.AExは、Arcadia Libre Productionsが企画する、アニメ、マンガ、ビデオゲーム、エンターテイメントのお祭りで、年に2回開催されます。チリでは、とても高い人気をほこっており、ファンによるファンのためのイベントとして企画されています。AExでは、コスプレ、カラオケ、イラストのコンテスト、ワークショップとファン同士が交流できるコーナー、ビデオゲームルーム、ショップゾーン、アーティストゾーン、日本文化ゾーン、バンドのためのライブパフォーマンス、エンターテイメント文化に浸透したさまざまな活動を集めています。さらには、シングル歌手やダンスグループ、日本人アーティストと、オタク文化に関係する世界各地のアーティストが参加しています。","Anime Expo Santiago 28 / Anime Expo Santiago 28","2019-02-02","2019-02-03","Start Time: 10:00 / End Time: 19:00AEx is an anime, manga, videogames and entertainment convention that is held 2 times at year, organized by Arcadia Libre Productions. AEx is most important and of higher trajectory in Chile; and is from his origin, an event created from fans for fans.AEx congregates diferent activities asosiated to the entertainment culture, some most important elements we can highlight: Contest of cosplay, karaoke and ilustrations, Room for workshops and conferences, Videogames room, shop zone, national artist zone, japanese cultural zone, live performance for bands, single singers and dance groups, moreover, we count with participation of diferent japanese artists and from other parts of the world who are related with otaku culture.AExは、Arcadia Libre Productionsが企画する、アニメ、マンガ、ビデオゲーム、エンターテイメントのお祭りで、年に2回開催されます。チリでは、とても高い人気をほこっており、ファンによるファンのためのイベントとして企画されています。AExでは、コスプレ、カラオケ、イラストのコンテスト、ワークショップとファン同士が交流できるコーナー、ビデオゲームルーム、ショップゾーン、アーティストゾーン、日本文化ゾーン、バンドのためのライブパフォーマンス、エンターテイメント文化に浸透したさまざまな活動を集めています。さらには、シングル歌手やダンスグループ、日本人アーティストと、オタク文化に関係する世界各地のアーティストが参加しています。","http://www.anime-expo.cl/","https://www.facebook.com/animexposantiago","https://twitter.com/animexpo"
"Anime Friends / Anime Friends","Brazil / Brazil / ブラジル","Sao Paulo","Maru Division","Campo de Marte",,"Anime Friendsはラテンアメリカでの日本文化の祭典であるだけでなく、全てのアニメ・漫画・ゲームファンのための主要イベントとなっています。毎年ブラジルやその他のラテンアメリカ諸国、そして日本から合計12万人を超える参加者を記録し、一参加者あたり物販や食販に平均150USドルを消費する一大イベントです。","Anime Friends São Paulo 2019 / Anime Friends 2019","2019-07-12","2019-07-14","Start Time: 12:00 / End Time: 20:00Anime Friendsはラテンアメリカでの日本文化の祭典であるだけでなく、全てのアニメ・漫画・ゲームファンのための主要イベントとなっています。毎年ブラジルやその他のラテンアメリカ諸国、そして日本から合計12万人を超える参加者を記録し、一参加者あたり物販や食販に平均150USドルを消費する一大イベントです。","http://www.animefriends.com.br/","http://www.facebook.com/animefriendsbr","http://www.twitter.com/animefriends"
"Anime Friends Argentina / Anime Friends Argentina","Argentina / Argentina / アルゼンチン","Buenos Ares","Yamato Argentina","Centro de exposición Miguelete",,"Anime Friends is a mega convention dedicated to anime, video games, Asian pop & fantastic culture; originated on Brazil, produced and organized by Yamato Corporation since 2002.One of the points that makes Anime Friends to stand out to other events worldwide, is the presentation of important Japanese artists, as well as various contests and multi-thematic proposals.The mega convention began to be held in Argentina from 2009, quickly becoming the largest convention of the genre in the history of Argentina. In the last local edition, we had more than 25,000 attendants.La mega convención comenzó a realizarse en Argentina a partir del año 2009, convirtiéndose rápidamente en la mayor convención del género, en la historia de Argentina. En la última edición local se registró un acceso de más de 25.000 personas.アニメフレンズは、アニメ、ビデオゲーム、アジアのポップ＆ファンタスティックな文化に特化したメガコンベンションです。本イベントはブラジルで開催され、2002年よりヤマトコーポレーションが制作・運営しています。アニメフレンズを特徴は、有名な日本のアーティストの紹介だけでなく、さまざまなコンテストやマルチテーマの紹介をしているところです。メガコンベンションは2009年からアルゼンチンで開催され、アルゼンチン史上最大のカルチャーイベントに成長しました。最近のイベントの参加者は２5,000人を越えています。","Anime Friends Argentina 2019 / Anime Friends Argentina 2019","2019-07-12","2019-07-14","Start Time: 10:00 / End Time:  20:00Anime Friends is a mega convention dedicated to anime, video games, Asian pop & fantastic culture; originated on Brazil, produced and organized by Yamato Corporation since 2002.One of the points that makes Anime Friends to stand out to other events worldwide, is the presentation of important Japanese artists, as well as various contests and multi-thematic proposals.The mega convention began to be held in Argentina from 2009, quickly becoming the largest convention of the genre in the history of Argentina. In the last local edition, we had more than 25,000 attendants.La mega convención comenzó a realizarse en Argentina a partir del año 2009, convirtiéndose rápidamente en la mayor convención del género, en la historia de Argentina. En la última edición local se registró un acceso de más de 25.000 personas.アニメフレンズは、アニメ、ビデオゲーム、アジアのポップ＆ファンタスティックな文化に特化したメガコンベンションです。本イベントはブラジルで開催され、2002年よりヤマトコーポレーションが制作・運営しています。アニメフレンズを特徴は、有名な日本のアーティストの紹介だけでなく、さまざまなコンテストやマルチテーマの紹介をしているところです。メガコンベンションは2009年からアルゼンチンで開催され、アルゼンチン史上最大のカルチャーイベントに成長しました。最近のイベントの参加者は２5,000人を越えています。","http://www.yamato.com.ar","https://www.facebook.com/pages/YAMATO-ARGENTINA/220974739866","https://twitter.com/yamatoargentina"
"AnimeShuriken / AnimeShuriken","Cuba / Cuba / キューバ","Havana","Nihon Bunka Grupo","National Botanic Garden",,"AnimeShuriken is a festival that lasts one to two days. It happens once a year when conditions are created and are ready to make the event a good influx of staff. Usually in July or August vacation. It is the oldest in Cuba and is organized for anyone who likes anime, manga or general culture of Japan. AnimeShuriken program also includes rooms with video projections, Expo selling action figures, doujinshis exhibitions, exhibitions and comepetencias cosplay, Anime Music Video, video games, karaoke, among others. We played extremely important issues of Japanese culture. traditional martial arts, calligraphy, kimonos and yukata test, exhibition of Japanese arms both samurai and  shinobi. Tea ceremony, bonsai trees, etc. Including the invitation of Japanese residing in Cuba or the Embassy of Japan to many of our activities. Including historical presentations as the Battle of Sekigahara each year; where models, video games are presented, among others.Anime Shurikenは1日、もしくは2日間開催されます。イベントは開催準備の状況やイベントスタッフの運営準備によって開催有無、日程が決定されます。通常は7月または8月の休日に開催します。日本のアニメ、マンガ、一般文化が好きな人に向けたキューバで一番古いイベントです。 Anime Shurikenプログラムは、ビデオ投影、アクションフィギュアの販売、同人誌の展示、展覧会、コスプレ、アニメミュージックビデオの上映、ビデオゲーム、カラオケなどで構成されています。私たちは書道、着物と浴衣の試着、武士と忍の武器展示、茶道、盆栽の木など歴史ある日本文化の紹介を行いました。日本の大使館や日本のキューバ在住の日本人の招待し、私たちの活動を見てもらいました。","AnimeShuriken Summer 2019 / AnimeShuriken Summer 2019","2019-08-05","2019-08-07","AnimeShuriken is a festival that lasts one to two days. It happens once a year when conditions are created and are ready to make the event a good influx of staff. Usually in July or August vacation. It is the oldest in Cuba and is organized for anyone who likes anime, manga or general culture of Japan. AnimeShuriken program also includes rooms with video projections, Expo selling action figures, doujinshis exhibitions, exhibitions and comepetencias cosplay, Anime Music Video, video games, karaoke, among others. We played extremely important issues of Japanese culture. traditional martial arts, calligraphy, kimonos and yukata test, exhibition of Japanese arms both samurai and  shinobi. Tea ceremony, bonsai trees, etc. Including the invitation of Japanese residing in Cuba or the Embassy of Japan to many of our activities. Including historical presentations as the Battle of Sekigahara each year; where models, video games are presented, among others.Anime Shurikenは1日、もしくは2日間開催されます。イベントは開催準備の状況やイベントスタッフの運営準備によって開催有無、日程が決定されます。通常は7月または8月の休日に開催します。日本のアニメ、マンガ、一般文化が好きな人に向けたキューバで一番古いイベントです。 Anime Shurikenプログラムは、ビデオ投影、アクションフィギュアの販売、同人誌の展示、展覧会、コスプレ、アニメミュージックビデオの上映、ビデオゲーム、カラオケなどで構成されています。私たちは書道、着物と浴衣の試着、武士と忍の武器展示、茶道、盆栽の木など歴史ある日本文化の紹介を行いました。日本の大使館や日本のキューバ在住の日本人の招待し、私たちの活動を見てもらいました。","https://www.facebook.com/groups/nihonbunkagrupoCuba/",,
